page-link,name,price,adresse,image-link,devise,quartier,ville,pays
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4444713,Mouton Ladoum,1000000.0,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4444713_uploaded_image2_1699193772.jpeg""); width: 484px;",CFA,"Dieuppeul-Derklé,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-4449743,Mouton,293934901.50877196,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_4449743_uploaded_image1_1699479301.jpg""); width: 612px;",demande,Keur,"Massar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4465409,Mouton Ladoum,300000.0,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/4465409_uploaded_image2_1700496108.jpeg""); width: 594px;",CFA,"Pikine,","Pikine,",Sénégal
https://sn.coinafrique.com/annonce/moutons/belier-4484443,Bélier,160000.0,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4484443_uploaded_image2_1701696864.jpeg""); width: 383px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/moutons-4501360,Moutons,500000.0,"Ouest Foire, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4501360_uploaded_image2_1702662448.jpeg""); width: 369px;",CFA,Ouest,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-4530463,Mouton,250000.0,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_4530463_uploaded_image1_1704536315.jpg""); width: 371px;",CFA,"Thies,","Thies,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-4536120,Mouton,200000.0,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4536120_uploaded_image2_1704815810.jpeg""); width: 383px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-metisse-4574584,Mouton Ladoum métisse,175000.0,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4574584_uploaded_image2_1706868441.jpeg""); width: 488px;",CFA,Parcelle,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4600147,Mouton  ladoum,750000.0,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4600147_uploaded_image2_1708304604.jpeg""); width: 404px;",CFA,"Thies,","Thies,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-bali-bali-4623542,Mouton Bali bali,293934901.50877196,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_4623542_uploaded_image1_1709500190.jpg""); width: 567px;",demande,Grand,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/moutons-4634393,Moutons,293934901.50877196,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4634393_uploaded_image2_1710012012.jpeg""); width: 377px;",demande,Sicap,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4635646,Mouton ladoum,293934901.50877196,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4635646_uploaded_image2_1710109870.jpeg""); width: 479px;",demande,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-4666295,Mouton,200000.0,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4666295_uploaded_image2_1711750194.jpeg""); width: 383px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-4671961,Mouton,250.0,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4671961_uploaded_image2_1712077264.jpeg""); width: 575px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-4677640,Mouton,320000.0,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4677640_uploaded_image2_1712323497.jpeg""); width: 441px;",CFA,"Mbao,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-tchadienne-4678964,Mouton tchadienne,275000.0,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4678964_uploaded_image2_1712396101.jpeg""); width: 392px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-soudanais-4678969,Mouton soudanais,385000.0,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4678969_uploaded_image2_1712396341.jpeg""); width: 392px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4703472,Mouton Ladoum,500000.0,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_4703472_uploaded_image1_1713709692.jpg""); width: 486px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-4703542,Mouton,350000.0,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4703542_uploaded_image2_1713713023.jpeg""); width: 383px;",CFA,"Guediawaye,","Dakar,",Sénégal
