page-link,name,price,adresse,image-link,devise,quartier,ville,pays
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/trio-bantam-de-pekin-1415870,Trio Bantam de Pékin,60000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1415870_uploaded_image1_1577915713.92.png""); width: 610px;",CFA,Keur,"Massar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-1415899,Brahmane,50000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1415899_uploaded_image2_1577916626.18.png""); width: 610px;",CFA,Keur,"Massar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-race-1417714,Poulet de race,40000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1417714_uploaded_image1_1577970779.66.png""); width: 436px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-hermine-7-jours-1432855,Poussin hermine - 7 jours,15000,Sénégal,"background-image: url(""https://images.coinafrique.com/thumb_1432855_uploaded_image1_1578928555.77.png""); width: 427px;",CFA,Sénégal,,Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1461888,Poule,35000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1461888_uploaded_image2_1578719187.3.png""); width: 436px;",CFA,Hann,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/males-bantam-de-pekin-1480111,Males Bantam de Pékin,15000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1480111_uploaded_image2_1579028771.77.png""); width: 610px;",CFA,Keur,"Massar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-1521236,Poulet,40000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1521236_uploaded_image2_1579695858.34.png""); width: 417px;",CFA,Hann,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-cochin-1577201,Couple Cochin,Prixsur,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1577201_uploaded_image1_1580561085.8.png""); width: 610px;",demande,Keur,"Massar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oies-1584132,Oies,90000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1584132_uploaded_image3_1580714620.25.png""); width: 610px;",CFA,Keur,"Massar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-cochin-bleu-1599500,Femelle cochin bleu,30000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1599500_uploaded_image1_1580916087.86.png""); width: 370px;",CFA,Les,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1645136,Poule,55000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1645136_uploaded_image1_1581608040.8.png""); width: 550px;",CFA,Keur,"Massar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/blond-panoramin-1654385,Blond Panoramin,40000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1654385_uploaded_image1_1581775358.47.png""); width: 418px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-metisse-1687460,Lapin métissé,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1687460_uploaded_image2_1582336381.77.png""); width: 437px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paon-1691196,Paon,250000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1691196_uploaded_image1_1582420837.2.png""); width: 583px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-orpington-fauve-1699722,Coq Orpington Fauve,35000,"Louga, Sénégal","background-image: url(""https://images.coinafrique.com/1699722_uploaded_image2_1582582300.8.png""); width: 430px;",CFA,"Louga,","Louga,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1712742,Pigeons,65000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1712742_uploaded_image1_1582798028.37.png""); width: 396px;",CFA,"Dakar-Plateau,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-orpington-1716103,Poussin Orpington,5000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1716103_uploaded_image1_1582837127.36.png""); width: 419px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-1723625,Coq,25000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1723625_uploaded_image2_1582972350.57.png""); width: 436px;",CFA,Les,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-1732205,Lapin Angora,25000,"Thies Nord, Thiès, Sénégal","background-image: url(""https://images.coinafrique.com/1732205_uploaded_image2_1583152160.49.png""); width: 369px;",CFA,Thies,"Thiès,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/male-bantam-1773437,Mâle bantam,20000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1773437_uploaded_image1_1583858452.61.png""); width: 610px;",CFA,Keur,"Massar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-paon-indien-1804515,Pigeon texan paon indien,60000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1804515_uploaded_image2_1584398280.63.png""); width: 369px;",CFA,Grand,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-paon-indien-1804522,Pigeon texan - Paon indien,60000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1804522_uploaded_image1_1584398352.13.png""); width: 369px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paon-indien-1804679,Paon indien,30000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1804679_uploaded_image1_1584402291.56.png""); width: 462px;",CFA,Keur,"Massar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-1804847,Poulet de chair,2700,Sénégal,"background-image: url(""https://images.coinafrique.com/1804847_uploaded_image2_1584408926.65.png""); width: 407px;",CFA,Sénégal,,Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cop-brahma-1812172,Cop Brahma,40000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1812172_uploaded_image2_1584528622.9.png""); width: 427px;",CFA,Parcelle,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1831098,Pigeon voyageur,13000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1831098_uploaded_image2_1584866026.28.png""); width: 410px;",CFA,"Dakar-Plateau,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1831100,Pigeon voyageur,13000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1831100_uploaded_image2_1584866055.54.png""); width: 410px;",CFA,"Dakar-Plateau,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-1842198,Poulet de chair,3000,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/1842198_uploaded_image1_1585068914.59.png""); width: 603px;",CFA,"Rufisque,","Rufisque,",Sénégal
